condition,preset,probe,profile,edge,method,label,mask,member_draws_per_pass,passes,width,height,seed_count,seed_keys,normalized_seed_variance,per_pass_variance_proxy,variance_cost_proxy_ms,ms_per_pass_median,ms_per_pass_min,ms_per_pass_max,estimated_total_render_ms,mean_luminance,seed_luminance_sd,seed_luminance_min,seed_luminance_max,mean_rgb,energy_ratio_to_pooled_mean,pooled_signal_sum_rgb_squared,pooled_mean_luminance,binary_sha256
p82-probe2-n1024-160x100,82,2,Laser-like,6.4,six,All six,3976,6,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.029815551417460753,30.53112465147981,44.69307396699535,1.4638528543307077,1.3268316929133865,1.544969291338581,1498.9853228346446,0.006487459764147598,1.8881759662321222e-05,0.006468047107651213,0.00651676974717263,"[0.005805696965869534, 0.007257120936486688, 0.0008708545073187119]",0.9968252693645514,6.2142222475298565,0.006508121296205878,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe3-n1024-160x100,82,3,Cone 25°,0.5,uv,UV plane,8,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",11.687561429919649,11968.06290423772,4220.323583630508,0.3526321358267721,0.33530098425196836,0.37961446850393815,361.09530708661464,0.006654163575966508,0.0004294627843478435,0.006120072868907498,0.0072058432529841085,"[0.001045408322359435, 0.008711736309652524, 0.00278775565054578]",1.0547692811771867,18.177409915318663,0.006308643695557815,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe3-n1024-160x100,82,3,Cone 25°,0.5,ut,UT plane,1024,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",1.0627525459167915,1088.2586070187945,379.06987508720766,0.3483270177165353,0.32497342519685035,0.38566712598425085,356.68686614173214,0.0063554667646235526,0.0002325546516705391,0.006109886191516992,0.006754020709632501,"[0.0009984812433261436, 0.008320677738476657, 0.002662616810718956]",1.0074220500198334,18.177409915318663,0.006308643695557815,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe3-n1024-160x100,82,3,Cone 25°,0.5,vt,VT plane,2048,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.022299272909969966,22.834455459809245,7.907395498098706,0.3462922736220469,0.3374053149606297,0.36275393700787395,354.603288188976,0.006252352002696464,2.5727773028906345e-05,0.006205938908817503,0.006282064918178538,"[0.0009822813385010985, 0.008185678252239717, 0.002619416954699469]",0.9910770530754512,18.177409915318663,0.006308643695557815,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe3-n1024-160x100,82,3,Cone 25°,0.5,sphere,Sphere,128,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.21671787155750497,221.91910047488508,84.69063028260256,0.38162839566929085,0.3668442913385825,0.3906287401574801,390.78747716535383,0.006219904748545886,9.625430040026487e-05,0.006114910459722303,0.006369075511063135,"[0.0009771836766530938, 0.008143197798061604, 0.002605823181658846]",0.9859337519609145,18.177409915318663,0.006308643695557815,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe3-n1024-160x100,82,3,Cone 25°,0.5,planes,Three planes,3080,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.019542516242857456,20.011536632686035,9.684125212220392,0.4839271161417326,0.4727667322834645,0.48670059055118053,495.5413669291342,0.006249786948706287,2.9253137586539475e-05,0.006194173168998377,0.006275855318819959,"[0.000981878340697376, 0.0081823200484032, 0.0026183423110257183]",0.9906704595009904,18.177409915318663,0.006308643695557815,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe3-n1024-160x100,82,3,Cone 25°,0.5,spins,Sphere + disk + cone,896,3,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.007332732326103983,7.508717901930479,6.673687869378725,0.888791929133858,0.8669983267716541,0.9891104330708652,910.1229354330706,0.006256130790078525,1.4709837691012632e-05,0.006243116610316552,0.006281913952551596,"[0.000982874993141187, 0.008190625506022963, 0.0026210000641148806]",0.9916760387789427,18.177409915318663,0.006308643695557815,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe3-n1024-160x100,82,3,Cone 25°,0.5,uv-sphere,UV + sphere,136,2,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.09213008232205638,94.34120429778574,51.467412226507406,0.5455454232283463,0.503318700787401,0.5532263779527555,558.6385133858266,0.006237559969080147,3.0011334977295425e-05,0.006203452798893825,0.006290063770649989,"[0.000979957424876278, 0.008166312287702877, 0.002613219839146232]",0.9887323282296444,18.177409915318663,0.006308643695557815,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe3-n1024-160x100,82,3,Cone 25°,0.5,six,All six,3976,6,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",0.002560168000326105,2.6216120323339314,3.3438594383922386,1.2754974409448812,1.2239870078740145,1.34923622047244,1306.1093795275583,0.006243784764765155,1.7295062191492136e-05,0.006209276838018221,0.006255337369401347,"[0.0009809353699978668, 0.008174461894218134, 0.0026158276780997034]",0.9897190372570367,18.177409915318663,0.006308643695557815,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
p82-probe4-n1024-160x100,82,4,Cone 25°,2.0,uv,UV plane,8,1,1024,160,100,6,"[0, 1000003, 2000006, 3000009, 4000012, 5000015]",1.0327361812506182,1057.521849600633,374.7414545666727,0.35435812007874035,0.33820344488188964,0.362633070866142,362.8627149606301,0.006269102026659988,9.998054802943665e-05,0.006140829760521355,0.00641562008544443,"[0.0007857692207944643, 0.00785769143378517, 0.0066790384608854505]",0.99306053534643,13.615449839815387,0.0063129102441605,08cbcb4555bd6df102e797b7c9d65460be0db21562fd33c6db4785c972d2901e
